Müşteri No,Müşteri Adı,Telefon,GSM,Email,Adres,İlçe,Vergi Dairesi,Vergi No
MN000435,Metin Kargo İthalat İhracat Sanayi Dış Ticaret Ltd.Şti.,0212 638 48 26,,,,FATİH,,
MN000436,Aktif Mağazacılık Gıda Sanayi Ve Ticaret A.Ş,0212 4510620,0532 394 0606,kemalokan35@gmail.com,Sahra-i Cedid Mahallesi  Halk Sokak No:35/1,Kadiköy,Erenköy,0420362371
MN000437,Artukbey Kuru Kahve Kuruyemiş Gıda.Tur.Pet.Nak.İnş.San Ve Tic Ltd.Şti,,0546 506 66 68,,OSB MAHALLESİ OSB2 BULVARI 1149MERKEZ KÖYÜ MERKEZ,ARTUKLU,,
MN000438,Pratik Hediye İnternet Hizmetleri Ltd.Şti,0212 602 05 50,0543 800 13 13,,Mimar Hayrettin Mh. Yeniçeriler Cad. Kığılı Pasajı No:2 K:1,Çemberlitaş,,
MN000439,Melez Tea Sanayi Ve Ticaret,0224 261 05 93,,,,,,
MN000440,Biz Danışmanlık ( İlknur Uçar ),0334 224 95 44,,,,,,
MN000441,İz Grafik Ajans,0452 222 21 22,,serdar@izajans.com.tr,"Yeni Mahalle Sahil Cad. 303.Sokak No:43 K:1/2
Kumbaşı Merkez/ORDU",Merkez,,
MN000442,Nts Moda Tekstil Ve Aksesuar,,0507 220 11 67,,Tepeüstü cumhuriyet mah.dr.sadik ahmet cad.yeşilçam sk.deniz apt.no.30 daire 10,SEFAKÖY,,
MN000443,Erilmez Lokum Sanayi ( Murat Erilmez ),0412 223 17 45,0533 732 37 87,,Azizmahmutoğulları cd. Taksim 2 Apt. No:13/D ,Yenişehir,Süleyman Nazif,22126741308
MN000444,Efe Matbaacılık Ve Etiket Sanayi,0212 674 31 93,,,,TOPKAPI,,
MN000445,Nurosmaniye Turizm Ve Otelcilik San.Tic A.Ş,0212 5225080,,fom@ferhotel.com,"Molla Ferani Mahallesi Türbedar Sok No:12
Nurosmaniye ",Fatih,,
MN000446,Şazeli,,0532 353 20 18,,,,,
MN000447,Mudo Satış Mağzaları A.Ş,0212 456 0707,,yildiz.karayucel@mudo.com.tr,Fulya Mahallesi Ortaklar Caddesi Bahçeler Sokak No:10 ,Şişli,Büyükmükellefler,623 000 98 11
MN000448,Delta İhracat Pazarlama Ltd.Sti,0216 4429959,05335144874,deltaihracat@outlook.com,"Cevizli Mahallesi Zambaklı Sokak No:1 Blok
D:2 ",Maltepe,Kartal,2740660478
MN000449,Özer Group Sigorta,,0532 582 02 82,furkan.aksu@özsergroup.com,,,,
MN000450,Doğanca Gıda Tarım Ürünleri,0422 237 60 50,0532 276 93 75,,,,,
MN000451,Algen Tic,0216 455 60 14,0533 220 77 54,,,,,
MN000452,Gerçek Kozmetik San Ve Tic Ltd.Sti,0216 621 3003,0537 719 7600,yeliz.sahinoglu@bambino.com.tr,Zümrütevler Mahallesi Eski Üsküdar Caddesi Ural Sok No :11/4,Maltepe,Anadolu Kurumlar,3940096909
MN000453,Kağıthane Belediyesi,,0506 760 64 44 ,,,,,
MN000454,Artaş Bilişim İnşaat Tekstil San Ve Tic A.Ş,212 803 01 50,0530 436 13 13,,,,,
MN000455,Mürekkep Basın Yayın Dağıtımı,212 245 53 38,0533 602 24 23,,,,,
MN000456,Okumuş Çay,212 567 69 19,,,,,,
MN000457,Servan Confectionary Şekerleme Gıda San. Ve Tic. Ltd.Şti,,0532 130 19 28,,,,,
MN000458,Lak Ofset Reklam Bas.Yay.San.Ve Tic.Ltd.Şti,212 565 56 82,0532 450 03 43,,,,,
MN000459,Artukbey Kuru Kahve Kuruyemiş Gıda.Tur.Pet.Nak.İnş.San Ve Tic Ltd Sti,,05465066668,nevin@artukbey.com,OFİS OSB MAHALLESİ OSB 2 BULVARI 1149 MERKEZ KÖYÜ MERKEZ BUCAĞI ARTUKLU,ARTUKLU,Mardin,0850407456
MN000460,Promıdea  Promosyon,212 593 04 14,0543 878 48 99,,,,,
MN000461,Yeşil Kundura Sanayi A.Ş,212 709 83 00,530 875 19 44,,,,,
MN000462,Kervansaray Kahve,0344 413 84 13,,,,,,
MN000463,Gimel Ltd,0212 2690345,05307623326,izak@gimelltd.com,"Büyükdere cad. Emlak kredi Blokları
 C-1 Blok Kat:6 D:13 
Levent-Beşiktaş",Beşiktaş,,
MN000464,Flador Global Uluslararası Taşımacılık Lojistik Dış Ticaret Ltd.Şti,0232 421 14 53,,,,,,
MN000465,Ünilever San.Ve Tic .Türk .A.Ş,0216 633 89 75,0549 724 51 21,,Saray mah.Dr.adnan büyükdeniz Cad.No 13 Ümraniye / istanbul,,,
MN000466,Kepenci Gıda Mad. İnş. Rek. Paz. San. İç Ve Dış Tic. Ltd. Şti.,0850 346 9696,0507 612 19 44,,Borazanlar Mah. Mehmet Akif Ersoy Bulvarı Açelya Apt. 40/A/9-10 C-1 BOLU ,,,
MN000467,Hazar İç Ve Dış Ticaret  Ltd Şti,0216 372 57 22,,,,,,
MN000468,Ems Patvag Sro,420 517 302 200,,info@emspatvag.cz,"EMS-PATVAG s.r.o.
Brankovice č.p. 350
683 33 Brankovice
Czech Republic",,,
MN000469,Ecazıbaşı,0216 333 77 62,,,,,,
MN000470,Umur Kırtasiye A.Ş,0216 645 63 00,0554 937 51 66,,,,,
MN000471,Seta Kırtasiye,0212  527 78 13,,,,,,
MN000472,Kahraman Kırtasiye Bilgi İhr.İth.Tic.Ltd.Sti,0212 2178737,,,"Dereboyu Caddesi Kısmet Sok. No: 20
Mecidiyeköy",Şişli,Zincirlikuyu,4880296921
MN000473,Apet Petrol Ürünleri,0212 549 52 22,0541 371 18 05,,,,,
MN000474,Eleanor,0216 576 58 58,,,,,,
MN000475,Toksöz Grup,0212 362 18 00,,,,,,
MN000476,Garanti Ödeme Sistemleri As,0212 318 1946,,gosassatinalma@garanti.com.tr,,,,
MN000477,Oday Yayıncılık Reklam Ve Tanıtım,0212 517 81 18,0532 700 60 33,,,,,
MN000478,Cpi Dış Ticaret San.,,0544 736 59 73,,,,,
MN000479,Gelişim Kozmetik,0282 674 53 11,,,Velimeşe organize san.bölgesi hacı seramet mevki gügür tekstil karşısı velimeşe / Çorlu,,,
MN000480,Edi Kravat,,,,,,,
MN000481,Fitpack Gıda A.Ş,0216 888 0 444,,ferdi@fitpackgida.com,"Şerifali Mahallesi Tavukçu Yolu Caddesi
No:266/3 Ümraniye ",Ümraniye,,
MN000482,Divan Pastaneleri,02162509600,05332974094,tuncay.ozyurt@divan.com.tr,"Sırrı Çelik Bulvarı Caddesi No:3/1
Taşdelen - Çekmeköy",Çekmeköy,,
MN000483,Emek Petrol,0332 275 44 04,,,,,,
MN000484,Bicmen Gıda,,,,,,,
MN000485,Khayal Tea Trading Est,00966552226083,,,,,,
MN000486,Apikyan Packaging S.A,+302310 570100,,ja@apikyan.com,"Ind. area of Sindos, Zone C Block 47
POBox 1325 - Sindos
57022 Thessaloniki Greece
",Sindos,,
MN000487,Alkaloid Ad Skopje,389 23104 000,,alkaloid@alkaloid.com,,,,
MN000488,Alınoğulları Gıda,,,,,,,
MN000489,Kuzey Yayınları (Erol Karaarslan),,0532 6609792,erol@kuzeyyayinlari.com,"Tevfik Bey Mahallesi 1.Baltacı Sokak No:5
Sefaköy - K.Çekmece",Sefaköy,,
MN000490,Sefa Zücaciye San.Ve Tic .Ltd.Şti,0212 659 65 13,,,,,,
MN000491,Forr Tobacco,,,,,,,
MN000492,Penti Çorap A.Ş,0282 685 43 68,,,,,,
MN000493,Arıkan Saat A.Ş,850 420 14 14,0532 310 53 77,,,,,
MN000494,Yetişen Züccaciye İthalat Ltd Şti,0212 659 27 61,,,,,,
MN000495,Irmak Okulları,0216 411 39 23,,,,,,
MN000496,Kısmet Tekstil İhracat San.Ve Tic.,212 664 50 61,,,,,,
MN000497,Hospitadent Dental Grup,0212 651 2 000,0554 592 0333,satinalma@hospitadent.com,Mahmutbey Caddesi No : 204  Ateştuğla,Bağcılar,,
MN000498,Can Resturant,,,,,,,
MN000499,Bayrak Gıda Aroma Ve Gıda Katkı Mad. San. Tic. Ldt.Şti,444 70 74,0544 406 38 45,,,,,
MN000500,Aferim Gıda,0216 315 51 79,,,,,,
MN000501,İzmir Ticaret Odası,498 46 60,0532 431 83 09,,,,,
MN000502,7 K Kimya Ve İlaç San.,,,,,,,
MN000503,Sportek Ayakabı,0212 597 96 63,0533 776 50 96,,"BOLUCA YOLU YILDIRIM BEYAZIT CAD.NO:102 
ARNAVUTKÖY7İST.",Arnavutköy,,
MN000504,Can Restaurant İşletmeciliği,,,,,,,
MN000505,Almana Yiyecek İçecek San.Tic.Ltd.Sti,0216 471 21 21,,Ebru.KARAMAN@krispykreme.com.tr,"Ferhatpaşa Mahallesi 85.Sokak No:57
Ferhatpaşa - Ataşehir - İstanbul",Atasehir,,
MN000506,Y5tgbrg,hnhn,yhnyt,nyn,f5rf,fgt,,
MN000507,Nefis Srl,(+373 237) 44 0 00,,bora@nefis.md.com,"STR. RIVAZ LOMTADZE 2/3, S. COJUSNA,
R-UL STRASENI, MD",,,
MN000508,Simit Sarayı Yatırım Ve Tic. Aş.,0212 398 0398 - 0212 398 03 40,0530 469 8392,talip.kalkan@simitsarayı.com,Apa Giz Plaza Büyükdere Cad. No:191,Levent,Zincirlikuyu,599 032 3260
MN000509,Mahroum Sweets /Aktopten Turizm,972 (4) 6554470 ,0532 274 59 30,aktoptendistic@gmail.com,"Paulos 6 St. Nazareth 16224 Israel

Not : Faturalama süreci değişkendir.Bu sebep ile müşterinin Ticari Bilgi Kısmını kontrol edin",,Merter,8510711274
MN000510,Da Vinci Teknoloji Sanayi Ve Ticaret Ltd. Şti.,0216 526 14 48,,info@davinciteknoloji.com,Esenşehir Mahallesi Eryılmaz Sokak 1/4 Ümraniye - İST.,Ümraniye,Sarıgazi,2650704905
MN000511,Pelit Çikolata Ve Gıda Sanayi Aş.,0212 411 13 00,,,Koza mahallesi 1678 Sok.No :19 ( Sanayi mah. evren sanayi sitesi akbatı avm arkası ) Esenyurt - İST,Esenyurt,Marmara Kurumlar,728 001 35 25
MN000512,Etsun Entegre Tarım Ürünleri San. Ve Tic. Aş,0212 385 32 66 ,,,"Esentepe Mah. Harman Cad. Alikaya Sok. Polat Plaza B Blok No:4 Kat:14  Levent, İstanbul",Levent,,
MN000513,Beyaz Fırın,0216 577 57 00  ,,,KÜÇÜKBAKKALKÖY MAHALLESİ VEDAT GÜNYOL SOKAK B BLOK NO: 40/1 ,Ataşehir,Anadolu Kurumlar,1670026600
MN000514,Detay Gıda Sanayi Ve Ticaret A.Ş,0212 8863137,05334594464,zehraguler@detaygida.com.tr,"Atatürk Mahallesi 422.Sokak No:8
Esenyurt - İstanbul",Esenyurt,Beylikdüzü,2930461115
MN000515,Uslu Gıda San.Ve Tic.Ltd.Şti,0212 567 61 02,0532 293 01 54,,"VATAN MAH.ESENLER CAD.SEYMEN SK.NO 1  
BAYRAMPAŞA",,,
MN000516,Barilla Gıda A.Ş.,+90 216 469 85 85,05302811236,ahu.meco@barilla.com,İçerenköy Mah.Askent Sokak Kosifler İş Merkezi No: 3A Kat : 6,Ataşehir,,
MN000517,Mado Yaşar Dondurma Ve Gıda Maddeleri A.Ş,216 472 53 04,,,BARBAROS MH.EVREN CD. KAYACAN SOK.NO 6 YENİBOSNA  ATAŞEHİR.,,,
MN000518,Zeytinoğlu Tatlı Ve Gıda Ürünleri İthalat İhracat Diş Ticaret Ltd.Sti.,,+90 536 2323451,zaitouneoglu@gmail.com,"Yenibosna Merkez Mahallesi Cemal Ulusoy Caddesi  No: 43/2  
",Bahçelievler,Yenibosna,9981299989
MN000519,Cakes And Bakes,0092 3203200020,00923008440549,usman@cakesandbakes.com,"18-km, Multan Road Lahore/Pakistan (ÜLKE İSMİNE PAKİSTAN EKLENECEK)",,,
MN000520,Sağlam Zücaciye Had.Eşya San. Tic .Ltd.Şti,0212 659 52 72-73,0532 206 60 55,,,,,
MN000521,Mevlana Kuruyemiş Ve Hur San. Tic. Ltd.Şti,0232 887 17 77,,,Mehmet akif ersoy mah. 1. öteyaka kümesi no69 D..A SÜTÇÜLER KEMALPAŞA / İZMİR,,,
MN000522,Urhan Yapı Metal Ekipmanları San.A.Ş,0212 549 89 77,0537 350 03 81,,,,,
MN000523,Bellaas,,0532 637 21 33,,,,,
MN000524,Mercure  İstanbul Topkapı Hotel,0212 665 75 75,,,"Merkezedefendi i Mah. Mevlana Cad. No 112/1
Zeytinburnu / İstanbul",,,
MN000525,Binşan Şekerleme,0312 428 01 28,0532 637 21 33,,,,,
MN000526,Porland Porselen,0228 216 01 45,,,,,,
MN000527,1 K Kimya A.Ş,0212 876 6380,0530 782 8373,sevginar.bastekin@1k-kimya.com,"Mermerciler San.Sitesi 5.Cadde No:3
Beylikdüzü",Avcılar,,
MN000528,Görenler A.Ş,0258 242 33 33,0549 488 88 78,,"OSB 1. Kısım R. Tavaslıoğlu cd.no 5 20065 
 Denizli",,,
MN000529,Pm Mağzacılık A.Ş,0212 325 26 06,,,"Yeşilce mah.Diken sok.no 4 kat 2
Kağıthane/ istanbul",,,
MN000530,Madam Coco,212 267 27 51 -52,,,"Deha Mağazacılık Ev Tekstili Ürünleri San.Ve Tic.A.Ş
ADRES Avni Diligil Sok.Çelik İş Merkezi B.Blok No 9 Şişli / İstanbul",,,
MN000531,A 4 Grafik,212 452 40 99,0533 775 96 90,,,,,
MN000532,Zeki Serdar Tekstil Ltd. Şti.,0536 251 94 25,,,"Madalya Sokak, No: 5, Haraççı, Arnavutköy, İstanbul, Türkiye",Arnavutköy,,
MN000533,Epa Ambalaj San .Ve Tic.Ltd Şti,,,,Prof.Nurettin Nezhar Ökten Sok.No 5 Şişli/İstanbul ,,,
MN000534,Çelikler Gıda Endüstri San.Ve Tic Aş,0342 337 33 33,,,"2.Organize san.böl k.maraş yolu üzeri no 10 Başpınar/ Gaziantep 

Gaziantep v.d. no 238049 6507",,,
MN000535,Sultan Kurabiye,,,,,,,
MN000536,Roshen Chocolate (Masaka Co.),00964 750 456 0954,0532 465 5257,roshen.masaka@hotmail.com,Iraq Zakho Trading Center /IRAQ,Erbil,,
MN000537,Al Istıka Nargıle Tutun Mamullerı Adı Ortaklıgı- Sulıman Alouf,0 212 508 6677,0539 267 9240,alistika.sti@gmail.com,Fevzi Çakmak Mahallesi Fevzi Çakmak Caddesi No: 35 A,Esenler,Esenler,7820712999
MN000538,Arı Petrol Kimya Endüstri Ve Tic A.Ş,0216 394 10 98,,,AYDINLI MAH KİMYACILAR. OSB ANALITIK CAD. NO 44 / TUZLA,,,
MN000539,1 Medya Reklam Ajansı,0364 225 66 64,,,Yeni Yol Mah. Gazi 12. Sok. No:9/13 Çorum,,,
MN000540,Strauss Group Ltd (Max Brenner),02-9910981,054-5772351,shosh.bastiker@strauss-group.com,"49 Hasivim st., 
POB 194, 
49517 Petach Tikva, Israel",,,
MN000541,Beta Gida San. Ve Tic. A.S.,0322 457 72 07,,,ADANA HACI SABANCI ORGANİZE SAN.BÖLGESİ.FUZULİ CAD.NO 1 SARIÇAM / ADANA,,,
MN000542,Alhalabi Sweets,009647701526070,,,suleymaniye/Irak,Suleymaniye,,
MN000543,Mega Gıda Dış Ticaret San Ve Tic Ltd.Sti,0 212 672 2100,0533 729 7033,"k.petekkaya@gmail.com ,kpetekkaya@megadisticaret.com.tr",Orhangazi Mah. Hoşdere Yolu 1730 Sok. Mimsan Sitesi 10.Blok No:1 - Esenyurt ,Esenyurt,,
MN000544,Kurukahveci Nuri Toplar Kahve Gıda Pazarlama Ltd.Sti,0212 522 0728,05326551502,,Hasırcılar Caddesi No: 17,Eminönü,Hocapaşa,8540526115
MN000545,Şehriistanbul Teks.İç Ve Dış Tic. Ltd. Şti.,0312 803 43 43,,c.babaarslan@efobaba.com,Kültür Mah. Dr. Mediha Eldem Sok. 81/8 Çankaya/ANKARA,Çankaya,,
MN000546,Suncone S.R.O - Sun Snack S.R.O,+ 420 515 210 611,,,"Dukelskych bojovnikü 2945/152
CZ-671 81 Znojmo - Chez Republic  
",Znojmo,,
MN000547,Aanı&Danı,00966112133092,00966535316905,bassaf@aani-dani.com,Riyadh  11342 KSA,,,
MN000548,Hallab 1881,00961 6 444555,,accounting@hallab.com.lb,KASR EL HELOU BLD. RIAD EL SOLH ST TRIPOLI LEBANON,,,
MN000549,El Condor Aş.,0216 317 88 65,0532 162 64 30,,Barbaros Mah. Evren Cad. Apaydın Sok. No:5 Yeni sahra Ataşehir/İSTANBUL,Ataşehir,,
MN000550,Anatlı Tasarım Dekorasyon Hediyelik Eşya San.Tic.Aş.,0212 222 30 40,0533 557 7927,ertan.mutaf@anatoli.com.tr,Defterdar Mah. Otakçılar Cad. Kar Plaza No:80/32  Eyüp/İST.,Eyüp,,
MN000551,Arbes Gıda Paz.İnş.Turizm Otomotiv Tic.Ltd.Şti,0312 278 1002,0532 4183243,burakbeskonakli@arbesgida.com,"Bahçekapı Mahallesi 2774 Caddesi No:24
Şaşmaz - ANKARA",,Etimesgut,0730396360
MN000552,Dokuyucu İç Ve Dış Tic. Ltd. Şti.,0(342)517 55 93,0532 438 2052,alisakidokuyucu@hotmail.com,Yeni Fıstık Hali A Blok Hali No:17 Nizip/ Gaziantep,Nizip,,
MN000553,Binnaji General Trading & Cont. Co,24829990-1/3/4,+965 97290491,purchase1@binnaji.com,Shuwaikh ind arial KUWAIT,,,
MN000554,Fortrend İstanbul,0212 324 38 38,,jacko.namet@fortrend.com.tr,Oruçreis Mah. Barbaros Cad.Giyimkent Sitesi 18. Sok. No:75 Blok No: C4-B190-25 Atışalanı/Esenler/İST.,Esenler,,
MN000555,Candy Kıng Uk Ltd.,0044 2392 630323,,chris.hobbs@candyking.com,"Fort Southwick
James Callaghan Drive
Fareham
Hampshire
",,,
MN000556,Koza Grup,,0532 637 21 33,,,,,
MN000557,Adm Group.,004407554457423,,sandrine.tomaszczyk@admgroup.com,"4TH FLOOR, BEAUMONT HOUSE KENSİNGTON VİLLAGE AVONMORE ROAD LONDON W14 8TS 
UNITED KINGDOM",london,,
MN000558,Behramkale  Assos Gıda San. Tic,0312 426 63 36,,,,,,
MN000559,Sanpharma İlaç Koz.San.Tic.A.Ş,0212 879 03 16,0532 336 85 08,,Kavaklı mah.İbrahim Mütefeeika cad.no 4-5 Beylikdüzü/ İstanbul,,,
MN000560,Egemen Group A.Ş,0232 437 32 05,0532 714 50 84,,Gülpınar Mah. 7234 sk.No 2 / A Isıkkent / İzmir,Bornova,,
MN000561,Vippromosyon,212 267 08 09,,,,,,
MN000562,Americana National Food Company,966 12 6081220,966 55 4445729,ahmed.hussen@americanacake.com,"Industrial City, Phase 5,Jeddah P.o box:51047 Jeddah 21543 Saudi Arabia",,,
MN000563,Janna Sweets,+964 771 897 7935,+964 771 897 7935,,ırak/Kerkük,Kerkük,,
MN000564,Selva Gıda San. Aş.,0332 239 01 24,0533 655 8772,yasin.icoz@selva.com.tr,Konya Organize San. Bölgesi Büyük Kayacık Mah. Güzelkonak Sok.No:6  Selçuklu-Konya,Selçuklu,Selçuk Vergi Dairesi,760 002 9218
MN000565,Nejla Hanım Ev Tatlıları,0462-248-3309,,,"Fatih Mah. Osman Demir Apt. No:142 
Söğütlü-Akçaabat/TRABZON",Akçaabat,Akçaabat V.d.,153 657 770 78
MN000566,Octo İntermational Marketig,0216 546 43 73,0532 542 99 95,,,,,
MN000567,Meda Donta Phama Medikal,0212 465 29 37,,,,,,
MN000568,Bella Çikolata A.Ş,,,,,,,
MN000569,Poyal Blueberry,,0532 600 99 85,,,,,
MN000570,Galata Consulting-İstanbul Ofisi,+90 216 3248464,, neslihan.kula@glt-consulting.com,"İstanbul Ofis: Fetih Mah. Tahralı Sk. No:7 Kavakyeli B/20 
Ataşehir / İstanbul Turkey
",Ataşehir,,
MN000571,E.Şeker.Com,0212 343 70 23,,,,,,
MN000572,Baksan San.,0212 875 37 08,,,,,,
MN000573,Özdamak Helve Ve Reçel,0212 445 47 96,,,,,,
MN000574,Tolga Tekstil Apre San Ve Tic Ltd Sti,0212 422 03 10,,,,,,
MN000575,Adinç Gıda,,0552 245 07 08,,,,,
MN000576,Sand Yapı,212 643 63 84,0532 276 32 63,,,,,
MN000577,Doyum Reçel,,,,,,,
MN000578,Akgündüz İth.İhr.Tur Tic.Kom,0232 422 03 80,,,,,,
MN000579,Tahanur Ambalaj,0532 482 42 20,,,Demirkapı Mah. Meriç Sok. No:3 Bağcılar/İST.,Bağcılar,,
MN000580,Sanimar,0216 590 09 55,0589 589 22 81,,Çakmak Mahallesi İkbal Caddesi Gül Sokak No:34/A,ÜMRANİYE,,
MN000581,Fame Çikolata,0232 278 0855,0535 437 19 81,,"Onur Mah. manolya sok.no 18A 
balçova İzmir",Balçova,Balçova,
MN000582,Sentez,,0541 440 23 65 serhat bey,,,,,
MN000583,Lokum İstanbul  Kişisel Ürünler Gıda Ve Dış Ticaret Ltd.Sti,,0506 451 7921,siir@lokumistanbul.com,"Muallim  Naci Caddesi İnce Su İş Merkezi No:43/B
Kat : 2 D: 7

Ortaköy - Beşiktaş",Beşiktaş,Beşiktas,6090415498
MN000584,Yılmaz Zuccaciye,0212 659 84 71,0532 562 38 11,,,,,
MN000585,Gifts And Pack,93 396 89 20,34 933 968920,info@giftsandpack.com,İspanya / Barcelona,Barcelona,,
MN000586,Timon Toplu Tüketim San.Tic.Aş,0212 659 06 59,0533 308 33 91,,,,,
MN000587,İstanbul Teknik Ecza Deposu,0212 858 20 20,,,,,,
MN000588,Osmanlı Kahvecisi,0242 244 88 45,0549 806 50 54,,,,,
MN000589,Lm Basın Yayınları,,0541 958 71 68,,,,,
MN000590,Adeda Yayınları,0212 514 50 99,0541 958 71 68,,,,,
MN000591,Naiboğlu Şarküteri,,,,,,,
MN000592,Al Hallab Restaurant & Sweets (L.L.C),971 4 282 3388,971-4 2999245,ahmad.m@alhallabrestaurant.com,"Sheikh Rashid Rd, Al Garhoud ",Al Garhoud ,,
MN000593,Tolid Bastani Etminan Azargol (Hajabdollah),00989143111576,009841-34328209 ,sale@hajabdollah.com,tabriz/İRAN,,,
MN000594,Rasyo Medya,,,,,,,
MN000595,Lebanese Sweets Company Sal (Douaihy),9614715315,,info@douaihy.com ,"317,Beyt Douaihy Bldg, Zalka West Highway, Beirut-Lebanon",highway,,
MN000596,Lm Basım Ltd.Şti,0212 292 94 50,,,,,,
MN000597,Simit Dünyası,0312 257 47 00,,,,,,
MN000598,Ted İstanbul Teknik Ezca,,,,,,,
MN000599,Kanesi Reklam,0266 260 01 60,0542 662 06 50,,,,,
MN000600,Foumat Matbaa Ambalaj-Promosyon,0266 221 88 44,0506 261 97 20,,,,,
MN000601,Fulyağ Petrol Ürünleri Ve Kimyevi Maddeler San. Ve Tic. Aş.,0232 461 6081,,,29 Ekim Mahallesi 10001 Sok. No:72 Ulukent Menemen/İZMİR,Menemen,,
MN000602,Tetra Doğrudan Satış Aş.,,,,,,,
MN000603,Ottonya Innovation Studios,0216 577 6915,,,CENAP ŞAHABETTİN SK. NO:90 KOŞUYOLU/KADIKÖY/İST,Kadıköy,,
MN000604,İnspiria Ambalaj San.Ve Tic.Ltd.Şti,0212 522 6902,,,Maltepe Mah. Topkapı Cad. Güven İŞ Merkezi C Bilok No 143Zeytinburnu / İstanbul Davuppaşa vd. 4780832995,Fatih,,
MN000605,Al Saha Tobacco Tütün Ve Tütün Mam.İşt.İrc.İtl.Paz.San. Tic.Ltd.Şti.,0212 734 2108 - 0212 734 2109,,,Ortaköy Mah. Harput Sok. No:9 Selimpaşa/Silivri/İST.,Silivri,,
MN000606,Expert Ambalaj İthalat İhracat San. Ve Tic. Ltd. Şti.,0262 502 06 90,0532 347 6280,,İnönü Mah. Gebze Güzeller OSB. SS Galvano Koop. Cumhuriyet Cad. No:2/41 Gebze/ KOCAELİ,Gebze,,
MN000607,Pelitköy Zeytinyağı Gıda Sanayi Ve Tic.İth.İhr.Aş.,0266 423 1500,,,Pelitköy Mah. Ali Çetinkaya Cad. No:51 Burhaniye / BALIKESİR,Burhaniye,Burhaniye,728 039 4042
MN000608,Zmc Export Ltd.,0216 688 57 81,,,"Barbaros Mah. Fesleğen Sok. Ağaoğlu Suncity Sitesi, 2C no 111 Ataşehir",Ataşehir,,
MN000609,Ve-Ge Hassas Kağıt Ve Yapıştırıcı Bant San. Tic. A.Ş.,0232 877 03 56,,,Kemalpaşa O.S.B.  1 Sokak  NO: 1-3  Kemalpaşa / İZMİR,Kemalpaşa,Büyükmükellefler,9240029068
MN000610,Acı Kahve,0424 290 80 80,,info@acikahve.com.tr,"Ataşehir Mah. Hacı Sadettin Bulvarı Muharirler Sok.  64 D:1-2 Elazığ Merkez, Elazığ",Merkez,,
MN000611,Can Company,05354215254,,fadi.slka1@gmail.com,Kuwait.,,,
MN000612,Doğal Destek Ürünleri Araştırma San. Ve Tic. A.Ş.,0256 527 85 00,,,"Atatürk Mah. Abdi İpekçi Cad. No:110
Atburgazı Söke / AYDIN
",Söke,,
MN000613,Eğlence Organizasyon Gültekin Tepe,0212 570 5686,,,Bahçelievler Merkez Mah. Mahmutbey yolu Cad. Çiçek Sokak No: 12 Bahçelievler - İstanbul - Turkey,Bahçelievler,,
MN000614,Çelik Çorap San. Ve Tic. A.Ş.,0212 565 9080 ,,info@celik.com.tr,Terazidere Güneş Caddesi No: 56 34035 Bayrampaşa - İstanbul - Türkiye,Bayrampaşa,,
MN000615,Muhtar Group Gıda İç Ve Dış Tic. San. Ltd. Şti.,0212 486 00 15,0539 747 34 70,,İkitelli Organize Sanayi Bölgesi Mutfakçılar M6 Blok Sok. No: 36 Başakşehir/İSTANBUL,Başakşehir,İKİTELLİ,623 043 5465 
MN000616,Pamir Reklam Promosyon San.Tic.Ltd,02126124940,05556158142,kivanc@pamirreklam.com,"Litros yolu 2.Matbaacılar Sitesi Kat :5 F Blok
3NF17 Zeytinburnu - İstanbul",Zeytinburnu,Davutpaşa,720 056 3165
MN000617,Armağan Oyuncak,02126535613,05323316353,muharremvural@armagan.com.tr,"Cevizlibağ Mevkii Maltepe Mah.Mevlevihane Yolu Caddesi No: 7 
Topkapı - Zeytinburnu - İstanbul",Zeytinburnu,,
MN000618,Mepol Gıda Pazarlama Turizm San. Ve Tic. Ltd. Şti.,0 (232) 472 01 70,,,"Karacaoğlan Mahallesi, 6166 Sokak,
No:28 Z1 Işıkkent Bornova / İZMİR",Bornova,,
MN000619,Ertuğrul Bey Dibek Kahvesi,0224 532 07 70,,,Ulubatlı Hasan Hacı İlyas Mahallesi Karasu İş Merkezi No:106 Kat:3 D:9/10/11/12 Osmangazi/BURSA,Osmangazi,,
MN000620,Eriş Helva,0222 236 02 88,,eris@erishelva.com.tr,Organize Sanayi Bölgesi 9. Cadde No: 38 Eskişehir,,,
MN000621,Expanscience Laboratoıres,0216 386 3647,,,"Palladium Tower
Barbaros Mah. Kardelen Sok. No : 2 Kat 18
34746 Ataşehir İstanbul",Ataşehir,,
MN000622,Füme Kozmetik,0216 317 52 96,,fume@fumekozmetik.com,Barbaros Mahallesi. Sütçüoğlu Caddesi. No:65/A Yenisahra / Ataşehir / İSTANBUL,Ataşehir,,
MN000623,Bourbon Coffee Gıda San. Ve Tic. Ltd.Şti.,0312 473 13 14,,,Cevizlidere Mah. 1288 Sok. 1/10 B Blok Çankaya/ANKARA,Çankaya,Başkent,181 037 2788
MN000624,Komik Şeyler Yayıncılık Ltd.Şti. (Uykusuz Yayıncılık),,,,Orhan Gazi Mah. 1730.Sok.Mimsan 23 Esenyurt/İSTANBUL,Esenyurt,Beylikdüzü,5760527852
MN000625,Dergah Pastaneleri,0464 212 16 96,,,"Engindere Mahallesi, Deniz Sk. No:19, 53100 Rize Merkez/Rize",Merkez,,
